W,q,theta_p
80.0,0.8500000000000001,0.00038196548837962543
80.0,0.9000000000000001,0.00041941331142241074
80.0,0.95,0.0004369926038992035
80.0,1.0,0.0004517464833939996
90.0,0.01,5.546473369201571e-06
90.0,0.05,2.0058376218972798e-05
90.0,0.1,3.564828821262887e-05
90.0,0.15,5.380751775557778e-05
90.0,0.2,7.530567753008081e-05
90.0,0.25,9.311103939162791e-05
90.0,0.3,0.00010500283584637922
90.0,0.35000000000000003,0.00014382217559512695
90.0,0.4,0.00015935490782627618
90.0,0.45000000000000007,0.0001715026075362283
90.0,0.5,0.00019924932073882737
90.0,0.5499999999999999,0.00021822510752488662
90.0,0.6,0.0002439771774077374
90.0,0.65,0.0002615927216991732
90.0,0.7000000000000001,0.00028431446851077437
90.0,0.75,0.0003285946350765787
90.0,0.8,0.0003367928376665777
90.0,0.8500000000000001,0.0003489672679022623
90.0,0.9000000000000001,0.00038542925804829645
90.0,0.95,0.0003976953889021005
90.0,1.0,0.0004163645596834155
100.0,0.01,2.9028817480702407e-06
100.0,0.05,1.9294720436349814e-05
100.0,0.1,4.154329353119416e-05
100.0,0.15,5.948988489701077e-05
100.0,0.2,8.304126656677445e-05
100.0,0.25,9.572337934247986e-05
100.0,0.3,0.00011557237069086036
100.0,0.35000000000000003,0.00013723308023715075
100.0,0.4,0.00014856729452496095
100.0,0.45000000000000007,0.00018305998611559766
100.0,0.5,0.00019398203568627087
100.0,0.5499999999999999,0.00020692939045625604
100.0,0.6,0.00021684275728599088
100.0,0.65,0.00024552318808393524
100.0,0.7000000000000001,0.00026772691287986673
100.0,0.75,0.00028743685809265397
100.0,0.8,0.0003187246026510187
100.0,0.8500000000000001,0.00032577427802307963
100.0,0.9000000000000001,0.0003426963924990946
100.0,0.95,0.00038205544663104884
100.0,1.0,0.0004042879822321841
110.0,0.01,3.7169274430980784e-06
110.0,0.05,1.9525993143477362e-05
110.0,0.1,3.7208459585957046e-05
110.0,0.15,5.206371899470692e-05
110.0,0.2,6.778415070495031e-05
110.0,0.25,9.204771364273476e-05
110.0,0.3,0.00010709329066334857
110.0,0.35000000000000003,0.00012473400169186512
110.0,0.4,0.0001391582872440542
110.0,0.45000000000000007,0.00016531076290504537
110.0,0.5,0.00018350472875622222
110.0,0.5499999999999999,0.00019400710993327893
110.0,0.6,0.00021240299448535194
110.0,0.65,0.00023245319806640652
110.0,0.7000000000000001,0.00024456170677940314
110.0,0.75,0.00026860271063655183
110.0,0.8,0.00028065150380669415
110.0,0.8500000000000001,0.0002867769166232159
110.0,0.9000000000000001,0.0003171004049814795
110.0,0.95,0.0003388871685034418
110.0,1.0,0.0003788970711449844
120.0,0.01,4.927780202557942e-06
120.0,0.05,1.7415750470451823e-05
120.0,0.1,3.368775878011289e-05
